tweet_date,city,occur
Mon Apr 30 13:44:54 +0000 2018,"Minneapolis, MN",1
Mon Apr 30 13:42:38 +0000 2018,"New Albany, IN",1
Mon Apr 30 13:33:22 +0000 2018,"California, USA",1
Mon Apr 30 13:27:02 +0000 2018,"Woodbury, MN",1
Mon Apr 30 13:25:05 +0000 2018,"Delmar, NY",1
Mon Apr 30 13:12:12 +0000 2018,"Daly City, CA",1
Mon Apr 30 13:08:56 +0000 2018,"La Verne, CA",1
Mon Apr 30 13:06:04 +0000 2018,"Minneapolis, MN",1
Mon Apr 30 13:05:01 +0000 2018,"St Paul, MN",1
Mon Apr 30 13:03:41 +0000 2018,"Fort Stockton, TX",1
Mon Apr 30 12:56:00 +0000 2018,"Montana, USA",1
Mon Apr 30 12:54:40 +0000 2018,"Minneapolis, MN",1
Mon Apr 30 12:52:51 +0000 2018,"Gainesville, GA",1
Mon Apr 30 12:40:35 +0000 2018,"Sandy Springs, GA",1
Mon Apr 30 12:32:40 +0000 2018,"Colesville, MD",1
Mon Apr 30 12:29:34 +0000 2018,"Washington, USA",1
Mon Apr 30 12:19:34 +0000 2018,"Minnesota, USA",1
Mon Apr 30 12:16:10 +0000 2018,"Brooklyn, NY",1
Mon Apr 30 11:31:36 +0000 2018,"Sterling, VA",1
Mon Apr 30 10:02:32 +0000 2018,"Minnesota, USA",1
Mon Apr 30 07:23:32 +0000 2018,"Vancouver, WA",1
Mon Apr 30 06:41:17 +0000 2018,"Logan, UT",1
Mon Apr 30 06:20:10 +0000 2018,"Charter Oak, CA",1
Mon Apr 30 05:32:52 +0000 2018,"St Paul, MN",1
Mon Apr 30 05:27:51 +0000 2018,"Dover, DE",1
Mon Apr 30 04:59:54 +0000 2018,"Slippery Rock, PA",1
Mon Apr 30 04:44:35 +0000 2018,"Alabama, USA",1
Mon Apr 30 04:17:02 +0000 2018,"Austin, TX",1
Mon Apr 30 03:46:05 +0000 2018,"Boston, MA",1
Mon Apr 30 03:35:07 +0000 2018,"Lubbock, TX",1
Mon Apr 30 03:15:04 +0000 2018,"Seattle, WA",1
Mon Apr 30 03:03:06 +0000 2018,"Manhattan, NY",1
Mon Apr 30 02:01:53 +0000 2018,"Oakland, CA",1
Mon Apr 30 01:30:39 +0000 2018,Cheshire High School,1
Mon Apr 30 01:11:37 +0000 2018,"San Francisco, CA",1
Mon Apr 30 00:43:31 +0000 2018,"Nashville, TN",1
Mon Apr 30 00:31:03 +0000 2018,"Georgia, USA",1
Mon Apr 30 00:12:16 +0000 2018,"Eugene, OR",1
Mon Apr 30 00:01:44 +0000 2018,"Virginia, USA",1
